"key","translation","domain"
"Only one permission per object is required.","Only one permission per object is required",
"Duplicates found:","Duplicates found",
"Not a valid object.","Not a valid object",
"Object found:","Object found",
"code","code",
"name","name",
"restricted","restricted",
"permissions","permissions",
"object","object",
"canRead","canRead",
"canWrite","canWrite",
"canCreate","canCreate",
"canRemove","canRemove",
"readCondition","readCondition",
"readParams","readParams",
"writeCondition","writeCondition",
"writeParams","writeParams",
"createCondition","createCondition",
"createParams","createParams",
"removeCondition","removeCondition",
"removeParams","removeParams",
"password","password",
"group","group",
"groups","Groupes",
"User","User",
"Groups","Groups",
"Permissions","Permissions",
"Permission","Permission",
"General","General",
"Access","Access",
"Read","Read",
"Write","Write",
"Create","Create",
"Remove","Remove",
"General Info","General Info",
"Login","Login",
"Users","Users",
"User Management","User Management",
