"key","translation","domain"
"workflow","Workflow",
"metaModelId","Model ID",
"nodes","Nodes",
"waitingNodes","Waiting nodes",
"executedNodes","Executed nodes",
"creationDate","Creation date",
"creationUser","User",
"histories","Histories",
"counters","Counters",
"instance","Instance",
"transition","Transition",
"node","Node",
"counter","Counter",
"transitions","Transitions",
"maxNodeCounter","Max node counter",
"logicOperator","Start Logic Operator",
"startTransitions","Start transitions",
"endTransitions","End transitions",
"startNode","Start Node",
"nextNode","Next node",
"condition","Condition",
"sequence","Sequence",
"Wkf Management","Wkf Management",
"Workflows","Workflows",
"Instances","Instances",
"Oryx","Oryx",
"Configurations","Configurations",
"Nodes","Nodes",
"Transitions","Transitions",
"History","History",
"Counter","Counter",
"Histories","Histories",
"Counters","Counters",
"Start","Start",
"Intermediary","Intermediary",
"Stop","Stop",
"Gateway","Gateway",
"Workflow","Workflow",
"Run","Run",
"Show instances","Show instances",
"Node","Node",
"Transition","Transition",
"Can't save workflow without start node","Can't save workflow without start node",
