"key","translation","domain"
"Only one permission per object is required.","Only one permission per object is required",
"Duplicates found:","Duplicates found",
"Not a valid object.","Not a valid object",
"Object found:","Object found",
"code","Code",
"name","Name",
"restricted","Restricted",
"permissions","Permissions",
"object","Object",
"canRead","Can Read",
"canWrite","Can Write",
"canCreate","Can Create",
"canRemove","Can Remove",
"readCondition","Read Condition",
"readParams","Read Params",
"writeCondition","Write Condition",
"writeParams","Write Params",
"createCondition","Create Condition",
"createParams","Create Params",
"removeCondition","Remove Condition",
"removeParams","Remove Params",
"password","Password",
"group","Group",
"groups","Groupes",
"User","User",
"Groups","Groups",
"Permissions","Permissions",
"Permission","Permission",
"General","General",
"Access","Access",
"Read","Read",
"Write","Write",
"Create","Create",
"Remove","Remove",
"General Info","General Info",
"Login","Login",
"Users","Users",
"User Management","User Management",
"Params","Params",
"Wizard Permissions","Wizard Permissions",
"Wizard Permission","Wizard Permission",
"Groups","Groups",
"Generate","Generate",
"Show permissions","Show permissions",
"Target package","Target package",
